StaffID,Name,Role,Age,ContactNumber
426,John Smith,Librarian,35,555-123-4567
890,Emily Johnson,Assistant Librarian,28,555-987-6543
684,Michael Williams,Cataloger,40,555-456-7890
217,Jessica Davis,Reference Librarian,32,555-234-5678
715,Jennifer Lee,Library Technician,29,555-345-6789
526,David Brown,Bookkeeper,45,555-876-5432
478,Matthew Jones,Children's Librarian,38,555-789-0123
116,Sarah Taylor,Acquisitions Specialist,31,555-567-8901
309,Daniel Martinez,IT Support,27,555-901-2345
845,Laura Miller,Archivist,42,555-678-9012
774,Robert Wilson,Media Specialist,36,555-345-6789
889,Amanda Clark,Outreach Coordinator,30,555-890-1234
366,Christopher Hernandez,Library Aide,24,555-567-8901
773,Amy Lewis,Teen Services Librarian,33,555-234-5678
631,Kevin Scott,Security Officer,40,555-901-2345
609,Rachel Allen,Circulation Clerk,26,555-678-9012
481,Patrick Young,Shelver,22,555-345-6789
876,Karen Hall,Program Coordinator,39,555-789-0123
547,Eric Garcia,Volunteer Coordinator,34,555-567-8901
975,Julia Rodriguez,Community Engagement Specialist,29,555-234-5678
